city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
,12,119090,13314.02954,2022-02-23,0.0165,1966,894470.0,881935.0,True,692,state,AC
,27,289578,8640.13978,2022-02-23,0.0229,6633,3351543.0,3337357.0,True,715,state,AL
,13,571174,13574.44921,2022-02-23,0.0247,14101,4207714.0,4144597.0,True,708,state,AM
,16,160025,18569.2752,2022-02-23,0.0131,2100,861773.0,845731.0,True,702,state,AP
,29,1492965,9999.34095,2022-02-23,0.0194,29003,14930634.0,14873064.0,True,715,state,BA
,23,1221650,13297.44534,2022-02-23,0.0214,26190,9187103.0,9132078.0,True,696,state,CE
,53,678503,22208.50767,2022-02-23,0.0168,11392,3055149.0,3015268.0,True,684,state,DF
,32,1013936,24948.89337,2022-02-23,0.0139,14059,4064052.0,4018650.0,True,718,state,ES
,52,1153702,16218.39478,2022-02-23,0.0222,25623,7113540.0,7018354.0,True,700,state,GO
,21,410211,5765.76498,2022-02-23,0.0262,10739,7114598.0,7075181.0,True,705,state,MA
,31,3157454,14828.83355,2022-02-23,0.0188,59307,21292666.0,21168791.0,True,713,state,MG
,51,700775,19873.26372,2022-02-23,0.021,14692,3526220.0,3484466.0,True,702,state,MT
,15,712145,8194.29174,2022-02-23,0.0249,17737,8690745.0,8602865.0,True,708,state,PA
,25,566562,14026.32204,2022-02-23,0.0178,10065,4039277.0,4018127.0,True,706,state,PB
,26,808836,8410.8129,2022-02-23,0.026,21007,9616621.0,9557071.0,True,714,state,PE
,22,364418,11105.29395,2022-02-23,0.0209,7623,3281480.0,3273227.0,True,707,state,PI
,41,2299203,19963.83557,2022-02-23,0.0183,42160,11516840.0,11433957.0,True,712,state,PR
,33,1977628,11387.8065,2022-02-23,0.0361,71419,17366189.0,17264943.0,True,705,state,RJ
,11,366864,20421.49561,2022-02-23,0.0192,7036,1796460.0,1777225.0,True,685,state,RO
,43,2124000,18594.10856,2022-02-23,0.0179,38050,11422973.0,11377239.0,True,702,state,RS
,42,1598982,22047.31553,2022-02-23,0.0133,21276,7252502.0,7164788.0,True,714,state,SC
,28,319775,13790.40737,2022-02-23,0.0195,6234,2318822.0,2298696.0,True,701,state,SE
,35,4969667,10736.09551,2022-02-23,0.033,163791,46289333.0,45919049.0,True,711,state,SP
,12,118436,13240.91361,2022-02-22,0.0166,1962,894470.0,881935.0,False,691,state,AC
,27,289311,8632.1733,2022-02-22,0.0229,6621,3351543.0,3337357.0,False,714,state,AL
,13,570599,13560.78384,2022-02-22,0.0247,14098,4207714.0,4144597.0,False,707,state,AM
,16,159973,18563.24113,2022-02-22,0.0131,2098,861773.0,845731.0,False,701,state,AP
,29,1489594,9976.76321,2022-02-22,0.0195,28977,14930634.0,14873064.0,False,714,state,BA
,23,1219743,13276.68798,2022-02-22,0.0214,26133,9187103.0,9132078.0,False,695,state,CE
,53,677699,22182.19144,2022-02-22,0.0168,11377,3055149.0,3015268.0,False,683,state,DF
,32,1013129,24929.03634,2022-02-22,0.0139,14053,4064052.0,4018650.0,False,717,state,ES
,52,1149491,16159.19781,2022-02-22,0.0223,25592,7113540.0,7018354.0,False,699,state,GO
,21,408928,5747.73164,2022-02-22,0.0262,10725,7114598.0,7075181.0,False,704,state,MA
,31,3120858,14656.96217,2022-02-22,0.0189,59139,21292666.0,21168791.0,False,712,state,MG
,50,491560,17497.01181,2022-02-22,0.0209,10254,2809394.0,2778986.0,True,690,state,MS
Acorizal,5100102,1145,21466.06674,2022-02-22,0.0201,23,5334.0,5399.0,True,547,city,MT
Água Boa,5100201,4980,19004.7321,2022-02-22,0.0201,100,26204.0,25721.0,True,548,city,MT
Alta Floresta,5100250,12666,24376.91257,2022-02-22,0.0129,163,51959.0,51782.0,True,583,city,MT
Alto Araguaia,5100300,2684,13845.75703,2022-02-22,0.0127,34,19385.0,19044.0,True,541,city,MT
Alto Boa Vista,5100359,1262,18194.92503,2022-02-22,0.0151,19,6936.0,6822.0,True,538,city,MT
Alto Garças,5100409,1441,11859.10625,2022-02-22,0.0298,43,12151.0,12030.0,True,540,city,MT
Alto Paraguai,5100508,955,8323.89087,2022-02-22,0.0325,31,11473.0,11356.0,True,543,city,MT
Alto Taquari,5100607,1668,14982.48451,2022-02-22,0.0174,29,11133.0,10847.0,True,506,city,MT
Apiacás,5100805,2666,25926.2861,2022-02-22,0.0071,19,10283.0,10133.0,True,509,city,MT
Araguaiana,5101001,525,16886.45867,2022-02-22,0.0152,8,3109.0,3100.0,True,500,city,MT
Araguainha,5101209,47,4968.28753,2022-02-22,0.0213,1,946.0,935.0,True,492,city,MT
Araputanga,5101258,3376,19916.22913,2022-02-22,0.0166,56,16951.0,16822.0,True,526,city,MT
Arenápolis,5101308,2678,28183.54031,2022-02-22,0.0161,43,9502.0,9607.0,True,528,city,MT
Aripuanã,5101407,5287,23276.39341,2022-02-22,0.0102,54,22714.0,22354.0,True,581,city,MT
Barão de Melgaço,5101605,908,11121.99902,2022-02-22,0.0198,18,8164.0,8564.0,True,510,city,MT
Barra do Bugres,5101704,5773,16350.86527,2022-02-22,0.0165,95,35307.0,34966.0,True,527,city,MT
Barra do Garças,5101803,13509,22096.99845,2022-02-22,0.0295,399,61135.0,61012.0,True,569,city,MT
Bom Jesus do Araguaia,5101852,1128,16820.75753,2022-02-22,0.0151,17,6706.0,6580.0,True,537,city,MT
Brasnorte,5101902,3065,15218.47071,2022-02-22,0.0144,44,20140.0,19695.0,True,516,city,MT
Cáceres,5102504,16346,17231.52824,2022-02-22,0.0289,472,94861.0,94376.0,True,581,city,MT
Campinápolis,5102603,2104,12435.72315,2022-02-22,0.0242,51,16919.0,15980.0,True,518,city,MT
Campo Novo do Parecis,5102637,10383,28727.55444,2022-02-22,0.0097,101,36143.0,35360.0,True,583,city,MT
Campos de Júlio,5102686,1494,21131.54173,2022-02-22,0.0094,14,7070.0,6891.0,True,538,city,MT
Campo Verde,5102678,8385,18331.87582,2022-02-22,0.0178,149,45740.0,44041.0,True,543,city,MT
Canabrava do Norte,5102694,850,17978.00338,2022-02-22,0.0165,14,4728.0,4743.0,True,523,city,MT
Canarana,5102702,5753,26339.16308,2022-02-22,0.0134,77,21842.0,21579.0,True,581,city,MT
Carlinda,5102793,3012,29532.30709,2022-02-22,0.0116,35,10199.0,10305.0,True,484,city,MT
Castanheira,5102850,1288,14721.68248,2022-02-22,0.0241,31,8749.0,8729.0,True,507,city,MT
Chapada dos Guimarães,5103007,2478,12738.39511,2022-02-22,0.0375,93,19453.0,19752.0,True,580,city,MT
Cláudia,5103056,2682,21902.81748,2022-02-22,0.0164,44,12245.0,12149.0,True,516,city,MT
Cocalinho,5103106,1266,22284.80901,2022-02-22,0.0134,17,5681.0,5700.0,True,502,city,MT
Colíder,5103205,9284,27590.71592,2022-02-22,0.0168,156,33649.0,33438.0,True,536,city,MT
Colniza,5103254,4710,11816.06081,2022-02-22,0.018,85,39861.0,38582.0,True,527,city,MT
Comodoro,5103304,2928,13937.5476,2022-02-22,0.0137,40,21008.0,20763.0,True,528,city,MT
Confresa,5103353,5300,16820.05712,2022-02-22,0.0223,118,31510.0,30933.0,True,564,city,MT
Conquista D'Oeste,5103361,803,19580.5901,2022-02-22,0.0212,17,4101.0,4038.0,True,572,city,MT
Cotriguaçu,5103379,1426,7046.15081,2022-02-22,0.0273,39,20238.0,19750.0,True,549,city,MT
Cuiabá,5103403,125133,20243.99635,2022-02-22,0.0291,3642,618124.0,612547.0,True,594,city,MT
Curvelândia,5103437,1164,22209.502,2022-02-22,0.0163,19,5241.0,5219.0,True,556,city,MT
Denise,5103452,1050,11001.67645,2022-02-22,0.019,20,9544.0,9462.0,True,530,city,MT
Diamantino,5103502,4679,21097.48399,2022-02-22,0.0147,69,22178.0,22041.0,True,521,city,MT
Dom Aquino,5103601,1153,14131.63378,2022-02-22,0.0234,27,8159.0,8178.0,True,536,city,MT
Feliz Natal,5103700,3216,22145.70996,2022-02-22,0.0109,35,14522.0,14192.0,True,518,city,MT
Figueirópolis D'Oeste,5103809,556,16106.60487,2022-02-22,0.0162,9,3452.0,3494.0,True,514,city,MT
Gaúcha do Norte,5103858,1764,22667.69468,2022-02-22,0.017,30,7782.0,7648.0,True,516,city,MT
General Carneiro,5103908,994,17775.39342,2022-02-22,0.0231,23,5592.0,5540.0,True,513,city,MT
Glória D'Oeste,5103957,761,25299.20213,2022-02-22,0.0197,15,3008.0,3026.0,True,483,city,MT
Guarantã do Norte,5104104,7079,19593.1359,2022-02-22,0.0202,143,36130.0,35816.0,True,540,city,MT
Guiratinga,5104203,1666,10928.17317,2022-02-22,0.0246,41,15245.0,15141.0,True,530,city,MT
Importados/Indefinidos,,5371,,2022-02-22,0.0503,270,,,True,581,city,MT
Indiavaí,5104500,501,18028.06765,2022-02-22,0.0259,13,2779.0,2752.0,True,507,city,MT
Ipiranga do Norte,5104526,2118,26742.42424,2022-02-22,0.0099,21,7920.0,7667.0,True,569,city,MT
Itanhangá,5104542,1918,27857.66158,2022-02-22,0.0078,15,6885.0,6737.0,True,528,city,MT
Itaúba,5104559,1195,32262.41901,2022-02-22,0.0251,30,3704.0,3802.0,True,517,city,MT
Itiquira,5104609,1393,10278.92562,2022-02-22,0.0129,18,13552.0,13345.0,True,522,city,MT
Jaciara,5104807,4046,14550.29309,2022-02-22,0.0294,119,27807.0,27776.0,True,565,city,MT
Jangada,5104906,741,8768.19311,2022-02-22,0.031,23,8451.0,8409.0,True,559,city,MT
Jauru,5105002,1171,13644.83803,2022-02-22,0.0316,37,8582.0,8793.0,True,538,city,MT
Juara,5105101,5820,16571.28214,2022-02-22,0.0172,100,35121.0,34974.0,True,534,city,MT
Juína,5105150,5969,14522.761,2022-02-22,0.0255,152,41101.0,40997.0,True,535,city,MT
Juruena,5105176,1975,12090.603,2022-02-22,0.0203,40,16335.0,15865.0,True,510,city,MT
Juscimeira,5105200,2082,18629.20544,2022-02-22,0.0231,48,11176.0,11221.0,True,543,city,MT
Lambari D'Oeste,5105234,948,15324.92726,2022-02-22,0.0169,16,6186.0,6121.0,True,579,city,MT
Lucas do Rio Verde,5105259,22323,33012.42236,2022-02-22,0.0097,216,67620.0,65534.0,True,585,city,MT
Luciara,5105309,443,21525.75316,2022-02-22,0.0158,7,2058.0,2077.0,True,535,city,MT
Marcelândia,5105580,1943,18862.24638,2022-02-22,0.0232,45,10301.0,10499.0,True,534,city,MT
Matupá,5105606,3826,22783.30257,2022-02-22,0.0154,59,16793.0,16566.0,True,536,city,MT
Mirassol d'Oeste,5105622,6416,22962.67134,2022-02-22,0.0229,147,27941.0,27739.0,True,569,city,MT
